company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Dassault Systèmes,Bigdata Python Developer,Pune,700000.0,"Business intelligence, Relational databases, SAP, Spark, NoSQL",4.0,Python Developer
Paramount HR,Python Developer needed at Andheri for US Shift,India,900000.0,"TensorFlow, Power BI, Data modeling, Azure, Tableau",,Python Developer
ScaleReal Technologies,Python Engineer,Remote,0.0,"CI/CD, Authentication, Azure, Go, CSS",3.9,Python Developer
ZF,Senior Engineer- Python Developer (Automotive),Hyderābād,0.0,"CI/CD, Azure, DevOps, Git, Continuous integration",3.9,Python Developer
Source-right,Embedded Testing Engineer – Python (NV510 RM 2818) / 5-10 Years,Gurgaon,0.0,"Computer science, Operating systems, Test automation, Analysis skills, Software development",5.0,Python Developer
Concentrix,Python Developer,Gurgaon,500000.0,"TensorFlow, Azure, Research, Databases, SQL",4.0,Python Developer
CustomerLabs,Python Developer,Chennai,500000.0,"NoSQL, SQL, OpenStack, AWS, Django",4.4,Python Developer
PreciTaste,Senior Python Developer,Navi Mumbai,550000.0,"CI/CD, Azure, Software troubleshooting, Kubernetes, Data structures",,Python Developer
Translate By Humans,Sr. Python Developer,Ahmedabad,450000.0,"Data structures, Git, Microservices, OOP, SVN",4.9,Python Developer
Vieva Intech,Python Programmer,Mumbai,252000.0,"TensorFlow, Machine learning, Software development, Python, SDLC",,Python Developer
Techcraft,Python Trainer,Remote,360000.0,"English, Machine learning, Data analytics, Python, Teaching experience",,Python Developer
Orange Mantra,Junior Associate Python,Gurgaon,0.0,"TensorFlow, Power BI, Azure, R, Google Cloud Platform",3.9,Python Developer
KTree,Python Developer,Hyderābād,600000.0,"CSS, XML, Git, Google Cloud Platform, SOAP",3.2,Python Developer
ConceptServe Technologies,Python Developer,Ahmedabad,450000.0,"React, Mobile applications, Application development, Databases, JavaScript",3.3,Python Developer
Helius Technologies,Software Application Engineer (Python),India,0.0,"Statistics, Image processing, Computer vision, CAD, Git",4.2,Python Developer
Aptiv plc,Senior Python Developer,Bengaluru,900000.0,"Data analysis skills, Agile, Linux, Python",3.5,Python Developer
Qualcomm,Engineer - C#/Python,Hyderābād,550000.0,"Jira, React, C#, Microsoft SQL Server, .NET",3.9,Python Developer
Revolo InfoTech,Python Developer,Mumbai,750000.0,"Node.js, NoSQL, Git, AWS, JavaScript",5.0,Python Developer
GetMeCab,Senior Python Developer,Delhi,90000.0,"AJAX, CSS, Bootstrap, React, Web development",,Python Developer
