company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Eurth Techtronics,Digital Marketing Specialist,Hyderābād,4800000.0,"Facebook Advertising, Internet of things, Analysis skills, Content creation, Digital marketing",3.5,Digital Marketing Specialist
Clean Harbors,Digital Marketing Specialist SEO,Karnataka,0.0,,3.3,Digital Marketing Specialist
Eduplex services private limited,Digital Marketing Specialist (real estate),India,450000.0,"CRM software, Email marketing, Social media marketing, Facebook Advertising, Social media management",,Digital Marketing Specialist
Twiceline services pvt ltd,Digital Marketing Specialist,Pune,300000.0,"Social media marketing, Social media management, Digital marketing, SEO, Google Ads",,Digital Marketing Specialist
Bmarkt Tecamat Private Limited,Digital Marketing Specialist,Pitampura,400000.0,"Web analytics, Social media marketing, Lead generation, Digital marketing, Financial services",,Digital Marketing Specialist
BeeOne Innovations,Digital Marketing Specialist,Cochin,306000.0,,,Digital Marketing Specialist
Gateway Group,Digital Marketing Specialist (2-7),Ahmedabad,200000.0,"CRM software, Email marketing, Digital marketing, SEO, UX",3.1,Digital Marketing Specialist
Gephels,Digital Marketing & SEO Specialist (Work from Office),Pune,3600000.0,"Search engines, Data mining, WordPress, Keyword research, Content management systems",4.1,Digital Marketing Specialist
Greysell Advertising,Digital Marketing Specialist,India,450000.0,"Blogging, Digital marketing",3.9,Digital Marketing Specialist
Xelium Technologies,Digital Marketing Specialist,Gurgaon,600000.0,"E-Commerce, Digital marketing, Mobile marketing",3.8,Digital Marketing Specialist
Twinleaves Retail Ecommerce India,Digital Marketing Specialist,Bengaluru,450000.0,"Analysis skills, Digital marketing, SEO, Google Ads, Google Analytics",2.5,Digital Marketing Specialist
Novex Communications Pvt. Ltd,Digital Marketing Specialist,Mumbai,390000.0,"Facebook Advertising, Content creation, Digital marketing, SEO, Organizational skills",,Digital Marketing Specialist
Goa Boat Club,Digital Marketing Specialist,Panaji,318000.0,"Email marketing, Social media marketing, Facebook Advertising, Social media management, Keyword research",,Digital Marketing Specialist
Redbridge Enterprises Ltd,Digital Marketing Specialist,India,300000.0,"Social listening, Google AdWords, Social media marketing, Social media management, Digital marketing",,Digital Marketing Specialist
Sashriya enterprises India Pvt Ltd,Digital Marketing Specialist,Noida,450000.0,"Email marketing, Google AdWords, Web analytics, Digital marketing, Direct sales",,Digital Marketing Specialist
Placewell System & Solutions pvt ltd.,Digital Marketing Specialist,Shiliguri,108000.0,"Social media marketing, Facebook Advertising, Social media management, Keyword research, Bengali",,Digital Marketing Specialist
Signal Expert Global LLP,Digital Marketing Specialist,India,312000.0,"Facebook Advertising, Social media management, Digital marketing, Adobe Premiere, SEO tools",,Digital Marketing Specialist
Aryng,Digital Marketing specialist,Mumbai,3000000.0,"CRM software, Email marketing, Salesforce, Research, Marketing automation",4.1,Digital Marketing Specialist
Idigimeta Technology Pvt. Ltd,Digital Marketing Specialist,India,396000.0,"Adobe Photoshop, Google AdWords, Facebook Advertising, Digital marketing, SEO",,Digital Marketing Specialist
Ossis Infotech,Digital Marketing Specialist,Thāne,4800000.0,,5.0,Digital Marketing Specialist
MohanDai Oswal HOSPITAL,Digital Marketing Specialist,Ludhiana,450000.0,"Analysis skills, Digital marketing, Database marketing, SEM",5.0,Digital Marketing Specialist
Hospedia Medicare pvt. ltd,Digital Marketing Specialist,Gurgaon,480000.0,"Facebook Advertising, Keyword research, Graphic design, Analysis skills, Project management",,Digital Marketing Specialist
Flexday,Marketing Specialist,Hyderābād,450000.0,"Digital marketing, Marketing",,Digital Marketing Specialist
