company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Riosis,UI/UX Developer,Remote,0.0,"Software troubleshooting, HTML",2.7,UX Designer
Forar Tech India Private Limited,UI/UX Developer - Coimbatore - Immediate Joiner,Coimbatore,1000000.0,"MVC, CSS, Bootstrap, Git, Responsive web design",,UX Designer
Vollzo,UI Developer,Remote,0.0,"Adobe Photoshop, CSS, Visual design, UI, HTML",,UX Designer
MBR Informatics,UI/UX Developer,Hyderābād,600000.0,,3.8,UX Designer
Credence Digital Marketing,UI/UX Developer,Hyderābād,550000.0,,4.3,UX Designer
Akuna Technologies,Jr. Web Frontend / UX Developer,India,0.0,"Adobe Photoshop, AJAX, CSS, XML, JavaScript",4.7,UX Designer
Society on Rent,Front End UI Developer,India,0.0,"CSS, JavaScript, HTML",4.0,UX Designer
Violet Infosystems Private Limited,Front End/UI Developer,India,1000000.0,"Web design, CSS, Bootstrap, Git, Responsive web design",,UX Designer
Sreyam IT Solutions,UI/UX Developer- Training and Intern,India,30000.0,"CSS, Bootstrap, React, Analysis skills, Quality assurance",,UX Designer
vCommission,UI Developer,India,0.0,"CSS, React, Git, JavaScript, Angular",4.0,UX Designer
Peddle Plus,UI/UX Developer (WFH),Remote,0.0,"Adobe Photoshop, CSS, Bootstrap, React, SVN",,UX Designer
Qcentum Technologies,UI Developer (Fresher),Bengaluru,650000.0,"Web accessibility, AJAX, CSS, Bootstrap, WordPress",,UX Designer
Travitons Technologies,UI Developer,India,125000.0,"CSS, React, Responsive web design, JavaScript, Angular",,UX Designer
Provlab,UI Developer,Bengaluru,650000.0,"Adobe Photoshop, CSS, JavaScript, Angular, jQuery",1.9,UX Designer
Adroit Sws,UI Designer/Developer,Hyderābād,0.0,"CSS, Bootstrap, JavaScript, jQuery, HTML",,UX Designer
PanApps,UI Developer,Remote,0.0,"AJAX, CSS, Software troubleshooting, React, D3.js",,UX Designer
Wintech services India,UI Developer,Hyderābād,550000.0,"WordPress, Analysis skills, Financial acumen, Communication skills",2.5,UX Designer
White Globe Private Limited,UI/UX Developer,Remote,330000.0,"Adobe Photoshop, CSS, Adobe Illustrator, Graphic design, JavaScript",,UX Designer
Snowfinch Consulting Group,UI Developer,Cochin,264000.0,"Marathi, CSS, React, Malayalam, English",,UX Designer
StarClinch,UI Developer,India,0.0,"MVC, CSS, Bootstrap, D3.js, Visual design",3.6,UX Designer
Crypto Mize,UX Developer,Delhi,0.0,"CSS, UXPin, Research, Information security, Project management",4.8,UX Designer
IDZ Digital,UI/UX Game Designer,India,0.0,"Adobe Photoshop, Bootstrap, Adobe Illustrator, UX, Sketch",3.9,UX Designer
Concentrix,Java Developer with Linux,Hyderābād,0.0,"Oracle, Big data, J2EE, Java, SQL",4.0,UX Designer
Maharaja Games,Web UI Developer,India,0.0,"AJAX, MVC, CSS, PHP, JavaScript",,UX Designer
Orion Innovation,Linux Kubernetes Developer,Chennai,0.0,"Node.js, Kubernetes, Ansible, Enterprise Software, DevOps",3.7,UX Designer
Houghton Mifflin Harcourt,UX Designer,Maharashtra,0.0,"Jira, Axure, Enterprise Software, Presentation skills, UX",3.3,UX Designer
Adjecti Solutions,UI Developer,Noida,550000.0,"Jira, CI/CD, MVC, Gradle, CSS",4.6,UX Designer
"Orion Systems Integrators, Inc.",Linux Kubernetes Developer,Chennai,0.0,"Node.js, Kubernetes, Ansible, Enterprise Software, DevOps",3.7,UX Designer
TALCHEMIST,Sr. UI/UX Developer,Bengaluru,700000.0,"Adobe Photoshop, Adobe Illustrator, Interaction design",3.3,UX Designer
Playdawn Consulting,UX Designer - Mobile Games,Bengaluru,700000.0,"Wireframing, Adobe XD, Usability, UX, Scrum",5.0,UX Designer
Playdawn Consulting,UI/UX Designer (Mobile Games),Bengaluru,700000.0,"Typography, Visual design, Adobe XD, UX, Unity",5.0,UX Designer
kinara,Senior Driver Developer (Linux),Hyderābād,0.0,"OS Kernels, C++, C, SDKs, Linux",4.1,UX Designer
virtualize technologies,UI Designer,Mohali,354000.0,"Adobe Photoshop, Adobe Illustrator, UX, UI",,UX Designer
Buzo Media Services,UI/UX Designer,India,3960000.0,"Adobe Photoshop, Mobile applications, Adobe Illustrator, Adobe Creative Suite, Graphic design",4.4,UX Designer
Altoura,UI/UX Designer,Bengaluru,450000.0,"2D animation, iOS, Adobe Illustrator, Adobe XD, Organizational skills",4.7,UX Designer
XSQUADS Tech,UI/UX Designer,Surat,650000.0,"2D animation, Research, Adobe XD, Usability, UX",,UX Designer
Gameskraft,UI/UX Artist,Bengaluru,550000.0,"Typography, Unreal Engine, Git, Adobe Creative Suite, Colour theory",3.9,UX Designer
Itedutech,Linux System Administrator Fresher,India,0.0,"System administration, Operating systems, Analysis skills, IT, Linux",,UX Designer
OpenLx,Linux Desktop Support Intern,Delhi,0.0,"Software troubleshooting, Fedora, Ubuntu, Linux",4.1,UX Designer
