company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
NST Cyber,Penetration Tester - Associate/Consultant/Senior/SME(IND080125_01),Pune,9.5,"Penetration testing, Azure, iOS, English, Android",4.2,Cybersecurity Specialist
Microsec Pte. Ltd.,Cyber Tester and QA,Bengaluru,7.0,"Penetration testing, Internet of things, DevOps, Project management, Docker",4.4,Cybersecurity Specialist
ValueMentor,Senior Penetration Tester,Thrissur,5.0,"Penetration testing, Google Cloud Platform, Information security, AWS, Presentation skills",4.0,Cybersecurity Specialist
SafeAeon Private Limited,Penetration Tester,Mohali,48.0,"Penetration testing, Azure, Operating systems, Google Cloud Platform, Windows",4.2,Cybersecurity Specialist
CADD Centre Pathanamthitta,Cyber Security Trainer,Pathanāmthitta,2.22,"Penetration testing, Information security, Nessus, Metasploit, Burp Suite",0.0,Cybersecurity Specialist
FULL Creative,Security Analyst,Chennai,5.5,"Cloud infrastructure, System administration, Operating systems, Information security, Firewall",3.8,Cybersecurity Specialist
AT&T,Sr Specialist Cybersecurity - Penetration Testing,Hyderābād,6.5,"Penetration testing, Node.js, English, .NET, Java",3.4,Cybersecurity Specialist
Workmates Core2cloud,Penetration Tester,Bhubaneshwar,7.0,"Penetration testing, Azure, System architecture, SOAP, AWS",5.0,Cybersecurity Specialist
Munjal Chakraborty Software & Media,Ethical Hacker,Gurgaon,5.0,"TCP, Encryption, Network infrastructure, Information security, SQL",3.0,Cybersecurity Specialist
Asite,Senior/Lead Penetration tester,Ahmedabad,5.0,"Jira, Bilingual, Penetration testing, TCP, Cloud infrastructure",2.9,Cybersecurity Specialist
PwC,CD&E-Cyber Security- Penetration Testing-Manager- Bangalore,Bengaluru,5.5,"Penetration testing, TCP, Google Docs, Operating systems, PCI",3.8,Cybersecurity Specialist
NetSPI India,Senior Security Consultant (Mobile Penetration Tester),Pune,6.0,"Penetration testing, iOS, Objective-C, Windows, Java",4.2,Cybersecurity Specialist
NetSPI,Senior Security Consultant (Network Penetration Tester),Pune,15.4375,"Penetration testing, Mobile applications, C#, Windows, .NET",4.2,Cybersecurity Specialist
Claranet,Senior Security Consultant,Remote,6.625,"Penetration testing, Controlling experience, Mobile applications, Encryption, Research",3.5,Cybersecurity Specialist
Sony India Software Centre,Offensive Security Engineer - OSCP Certification,Bengaluru,6.5,"TCP, iOS, Encryption, Network protocols, Linux",3.9,Cybersecurity Specialist
Deloitte,T&T-Cyber-D&R-ASM-VAPT+OSCP cert.DM-Mumbai,Mumbai,6.5,"Penetration testing, Operating systems, Information security, Firewall, Nessus",4.0,Cybersecurity Specialist
Claranet,Senior Security Consultant (Red Team),Remote,6.625,"Penetration testing, Controlling experience, Operating systems, Research, Information security",3.5,Cybersecurity Specialist
Claranet,Principal Security Consultant (Red Team),Remote,6.625,"Penetration testing, Operating systems, Research, Information security, Network protocols",3.5,Cybersecurity Specialist
Victoria's Secret,Security Engineer - PenTest,Bengaluru,8.0,"Go, React, DevOps, Information security, Java",3.5,Cybersecurity Specialist
ValueMentor,Security Analyst,Thrissur,48.0,"Penetration testing, AJAX, Bootstrap, Internet of things, XML",4.0,Cybersecurity Specialist
Beckman Coulter Diagnostics,Product Cyber Security Engineer,Bengaluru,6.0,"Penetration testing, Nessus, Metasploit, Scripting, Burp Suite",3.5,Cybersecurity Specialist
PwC,CD&E-Cyber Security- Penetration Testing-Senior Associate – Bangalore,Bengaluru,8.0,"Penetration testing, TCP, Operating systems, Visual Basic, Mobile applications",3.8,Cybersecurity Specialist
Necurity Solutions Network Security Private Limited,Cyber Security - Trainer,Chennai,3.0,"Penetration testing, Information security, Metasploit, Burp Suite, SIEM",0.0,Cybersecurity Specialist
Meesho,Security Engineer IV,Bengaluru,8.0,"CI/CD, SSO, Node.js, React, Spark",3.8,Cybersecurity Specialist
Deloitte,T&T-Cyber-D&R-Manager-WAF,Bengaluru,12.038461538461538,"Azure, Load balancing, R, Information security, Firewall",4.0,Cybersecurity Specialist
RSM US LLP,Cyber Testing Senior Associate 1,Gurgaon,8.5,"System administration, React, Java, Application development, AWS",3.7,Cybersecurity Specialist
Ankercloud Technologies Pvt Ltd,Sr.Security Engineer,Bengaluru,6.5,"DevOps, Google Cloud Platform, AWS, Nessus, Metasploit",4.5,Cybersecurity Specialist
RSM US LLP,"Manager 1, Cyber Security",Gurgaon,5.5,"TCP, System administration, Operating systems, Buffer, Solaris",3.7,Cybersecurity Specialist
Harness.io,Senior Product Security Engineer,Bengaluru,6.0,"CI/CD, DevOps, Git, Continuous improvement, Continuous integration",4.0,Cybersecurity Specialist
Sprinklr,Lead Product Security Engineer,Gurgaon,5.5,"Jira, Azure, Go, PCI, Enterprise Software",3.3,Cybersecurity Specialist
RSM US LLP,Cyber Testing Director,Gurgaon,5.5,"Network administration, CI/CD, Penetration testing, TCP, System administration",3.7,Cybersecurity Specialist
Marketocrat,Cyber Security Engineer,Remote,4.8,"Information security, Adobe Premiere, Computer networking, Cybersecurity, Network engineering",0.0,Cybersecurity Specialist
Apple,Security Engineer,Hyderābād,12.423076923076923,"CI/CD, Encryption, Java, JavaScript, Continuous integration",4.1,Cybersecurity Specialist
star4rall IT solutions,IAM Security Engineer,Remote,11.0,"Information security, AWS, Computer networking, Network engineering, Identity & access management",0.0,Cybersecurity Specialist
Google,"Security Engineer, Detection",Hyderābād,6.6,Network security,4.3,Cybersecurity Specialist
Lenskart,Security Engineer,Bengaluru,6.5,"Penetration testing, Azure, iOS development, Mobile applications, iOS",3.5,Cybersecurity Specialist
Mobile Programming LLC,Cyber Security Engineer,Remote,8.5,"Information security, Computer networking, Cybersecurity, Network engineering, Network security",3.6,Cybersecurity Specialist
CornerTree Consulting,Cyber Security Engineer,Mumbai,15.0,"Penetration testing, Information security, Java, Linux, Cybersecurity",3.6,Cybersecurity Specialist
ESDS Software Solution,Junior Security Engineer,Mumbai,3.5,"Information security, Analysis skills, NIST standards, IDS, SIEM",3.3,Cybersecurity Specialist
